frecuencia,importe_medio,recencia,interacciones
2.4862325765783115,3.406470072526133,-9.480072879742826,9.203600498999787
-6.5283873564824795,-7.658483993051689,-9.098480569582604,6.707271747175162
-3.1081654203593625,8.78221240736855,3.256960118720566,0.4779114038398935
-3.475229141224715,8.71826286977331,4.0331744014417122,2.075512358173635
1.93970048655503,2.647681306217838,-10.403105248836649,9.457445382385403
-3.519814626669235,8.38708982371765,5.784131483355694,2.3841085710153376
-7.442209030500325,-6.1015471778415735,-10.172853293364254,7.145548559222086
9.807518348350463,-6.416803752584878,-6.975299959005765,-5.026708706594984
-0.31618966641814383,3.722059700869273,-9.565287140097011,11.49374368358399
0.6340804280318897,6.351789610200438,-8.418712122649625,10.987640911982584
6.598655377703007,-7.541686664082037,-6.203370137219501,-7.183224374774925
5.73993134622735,-6.062616080873858,-6.4565424422330455,-5.556069680992977
2.91100019511854,4.716780695278459,-10.039517821357801,10.847359297445196
8.957149061068018,-7.090823744342168,-8.270407119513912,-7.196794890282879
-0.954817096988,-5.963102117512,-9.561845009766,5.63645182460917
