feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,abandono
-1.411218564631475,-0.5146617934875861,0.06403594109293143,0.5862455352895208,-0.45843694018691766,-0.3221230766184903,0
-1.0756263719809696,-0.4019207737923579,-0.018344983836897755,0.18661061339678264,1.0470091746433143,-0.19531956011768287,0
-2.0842761206436498,-1.6616398389466673,-2.440792426303049,-2.3844211114855387,1.815372684826906,-0.15055181526900124,0
-0.1375641378870638,-1.6784567643667918,-0.18250200934421656,0.021841213891960254,-0.7486353140363331,0.23591012385720245,0
-0.10391778388350303,-0.16616380639064543,-0.9475788307578992,-0.27178109303091214,-0.012278277112317357,-0.17177166495860768,0
-1.4068263178975096,-4.256764450105928,-0.6678721323747874,3.404083126777493,1.3187646157271942,-0.5231490503429418,1
1.698984881718301,0.5740447776630901,-0.7865453444551322,2.0792212564368624,-0.6621125168244095,-0.4998607872731365,0
-0.9687069247174469,0.1153230565216179,-2.0765321415728306,-0.3585521796031643,1.5863738801590164,-0.678444427222741,1
0.5244723346113862,-0.15050526098467587,-0.4849388193054065,-0.26490335483448846,0.5070157644871914,0.07416083871355604,0
-1.4928433512455317,-1.438209675287538,-2.922397855678506,-2.3785412102664547,1.546004147600127,-0.20154347030896919,0
-1.4123159177128444,-0.6529479330059818,-0.6877222538078565,0.27562625856511948,-0.886998060729534,-0.4164435761081721,0
0.39855903316984453,-1.4119392036409878,-1.971754437936536,-2.789224404424183,-1.325470936127,0.5352158950705264,0
0.9204422236548053,-0.24213622043293448,-0.419943725442223,0.8646062117293556,-0.15034192258090356,-0.09783118640255396,0
0.6907285013754983,0.6345407503831986,-0.609734216681596,1.6438108264105285,-0.4629439065425,-0.559114831903128,0
